,Mobile_Name,User_Rating,Mobile_Price,Total_Ratings_Reviews,Spec_Ram_Rom,Spec_Display,Spec_Camera
108,"Lenovo K8 Note (Venom Black, 32 GB)",4 ★,"₹9,529","1,984 Ratings & 378 Reviews",3 GB RAM | 32 GB ROM |,5.5 inch Full HD Display,13MP + 5MP Dual Rear Camera | 13MP Front Camera
109,"Samsung Galaxy J8 (Gold, 64 GB)",4.4 ★,"₹18,990","1,829 Ratings & 293 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6 inch HD+ Display,16MP + 5MP Dual Rear Camera | 16MP Front Camera
110,"Lenovo K8 Note (Venom Black, 64 GB)",4 ★,"₹12,299","11,667 Ratings & 2,293 Reviews",4 GB RAM | 64 GB ROM |,5.5 inch Full HD Display,13MP + 5MP Dual Rear Camera | 13MP Front Camera
111,"iVooMi I2 (Bronze Gold, 32 GB)",3.4 ★,"₹7,499","3,229 Ratings & 765 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5.45 inch HD Display,13MP + 2MP Dual Rear Camera | 8MP Front Camera
112,"iVooMi i2 (Olive Black, 32 GB)",3.4 ★,"₹7,499","3,229 Ratings & 765 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5.45 inch HD+ Display,13MP + 2MP Dual Rear Camera | 8MP Front Camera
113,"Redmi 5 (Gold, 32 GB)",4.2 ★,"₹9,760",781 Ratings & 94 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5.7 inch HD+ Display,12MP Rear Camera | 5MP Front Camera
114,"Samsung Galaxy J6 (Black, 64 GB)",4.3 ★,"₹15,990","1,512 Ratings & 197 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5.6 inch HD+ Display,13MP Rear Camera | 8MP Front Camera
115,I Kall K36,3.1 ★,₹939,327 Ratings & 67 Reviews,32 MB RAM | 64 MB ROM |,2.4 inch Display,0.3MP Rear Camera
116,"Samsung Galaxy S7 Edge (Gold Platinum, 32 GB)",4.4 ★,"₹29,990","2,716 Ratings & 486 Reviews",4 GB RAM | 32 GB ROM | Expandable Upto 200 GB,5.5 inch Quad HD Display,12MP Rear Camera | 5MP Front Camera
117,Nokia 105 DS,4 ★,"₹1,171","5,302 Ratings & 777 Reviews",4 MB RAM | 4 MB ROM |,1.8 inch Display,800 mAh Battery
118,"Apple iPhone 6s Plus (Space Grey, 32 GB)",4.5 ★,"₹36,999","1,175 Ratings & 200 Reviews",32 GB ROM |,5.5 inch Retina HD Display,12MP Rear Camera | 5MP Front Camera
119,I Kall K72 Vibration Mobile/K72 Mobile,3.2 ★,₹469,"1,917 Ratings & 322 Reviews",32 MB RAM | 64 MB ROM |,1.4 inch Display,800 mAh Battery
120,"Sony Xperia XA1 Ultra Dual (White/Rainbow White, 64 GB)",4.1 ★,"₹21,990",728 Ratings & 151 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6 inch Full HD Display,23MP Rear Camera | 16MP Front Camera
121,"Sony Xperia XA1 Ultra Dual (Gold, 64 GB)",4.1 ★,"₹21,990",728 Ratings & 151 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6 inch Full HD Display,23MP Rear Camera | 16MP Front Camera
122,"Panasonic P100 (Gold, 16 GB)",3.9 ★,"₹5,999","2,439 Ratings & 477 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,5 inch HD Display,8MP Rear Camera | 5MP Front Camera
123,"Samsung Galaxy J8 (Blue, 64 GB)",4.4 ★,"₹18,990","1,829 Ratings & 293 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6 inch HD+ Display,16MP + 5MP Dual Rear Camera | 16MP Front Camera
124,"Micromax Canvas Xpress 4G (Blue, 16 GB)",3.6 ★,"₹4,488","16,104 Ratings & 2,248 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,5 inch HD Display,8MP Rear Camera | 2MP Front Camera
125,Gfive G9,3.6 ★,"₹1,125",979 Ratings & 226 Reviews,32 MB RAM | 32 MB ROM |,2.8 inch Display,1.3MP Rear Camera
126,"Yu Yureka Black (Chrome Black, 32 GB)",4 ★,"₹8,499","14,257 Ratings & 4,277 Reviews",4 GB RAM | 32 GB ROM | Expandable Upto 64 GB,5 inch Full HD Display,13MP Rear Camera | 8MP Front Camera
127,"Meizu M3 Note (Grey, 32 GB)",3.6 ★,"₹7,499","2,159 Ratings & 551 Reviews",3 GB RAM | 32 GB ROM |,5.5 inch Full HD Display,13MP Rear Camera | 5MP Front Camera
128,Samsung Guru FM Plus SM-B110E/D,4.2 ★,"₹1,375","16,137 Ratings & 2,463 Reviews",NA ROM |,1.5 inch Display,0MP Front Camera
129,"Alcatel 3V (Spectrum Gold, 32 GB)",3.5 ★,"₹9,999",163 Ratings & 86 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,6.0 inch Full HD+ Display,16MP + 5MP Dual Rear Camera | 8MP Front Camera
